key,en,it,es,fr,de
Play,Play,Gioca,Jugar,Jouer,Spielen
Settings,Settings,Impostazioni,Configuración,Paramètres,Einstellungen
Video,Video,Video,Vídeo,Vidéo,Video
Audio,Audio,Audio,Audio,Audio,Audio
Language,Language,Lingua,Idioma,Langue,Sprache
Language:,Language:,Lingua:,Idioma:,Langue:,Sprache:
Window Mode,Window Mode,Modalità Finestra,Modo Ventana,Mode Fenêtré,Fenstermodus
Resolution,Resolution,Risoluzione,Resolución,Résolution,Auflösung
Quality,Quality,Qualità,Calidad,Qualité,Qualität
Reset To Default,Reset To Default,Ripristina Predefiniti,Restablecer Por Defecto,Réinitialiser,Auf Standard Zurücksetzen
Apply,Apply,Applica,Aplicar,Appliquer,Anwenden
Master Volume:,Master Volume:,Volume Master:,Volumen Maestro:,Volume Principal:,Hauptlautstärke:
Music Volume,Music Volume:,Volume Musica:,Volumen Música:,Volume Musique:,Musiklautstärke:
Sound Volume,Sound Volume:,Volume Effetti:,Volumen Efectos:,Volume Effets:,Effektlautstärke:
Ambience Volume,Ambience Volume:,Volume Ambiente:,Volumen Ambiente:,Volume Ambiance:,Umgebungslautstärke:
File 1,File 1,File 1,Archivo 1,Fichier 1,Datei 1
File 2,File 2,File 2,Archivo 2,Fichier 2,Datei 2
File 3,File 3,File 3,Archivo 3,Fichier 3,Datei 3
Delete File,Delete File,Elimina File,Eliminar Archivo,Supprimer Fichier,Datei Löschen
Enter Dream,Enter Dream,Entra Nel Sogno,Entrar Al Sueño,Entrer Dans Le Rêve,Traum Betreten
Invite Dreamers,Invite Dreamers,Invita Sognatori,Invitar Soñadores,Inviter Les Rêveurs,Träumer Einladen
Challenges,Challenges,Sfide,Desafíos,Défis,Herausforderungen
Invite,Invite,Invita,Invitar,Inviter,Einladen
Disband Dream,Disband Dream,Sciogli Il Sogno,Disolver Sueño,Rompre Le Rêve,Traum Auflösen